@relation CardPriceDataset

@attribute ccs_average_price numeric
@attribute shift numeric
@attribute shift_3 numeric
@attribute shift_7 numeric
@attribute shift_21 numeric
@attribute shift_30 numeric
@attribute shift_90 numeric
@attribute shift_180 numeric
@attribute shift_365 numeric
@attribute ccsb_average_price numeric

@data
1.78,-0.01,-0.02,-0.26,-0.21,0.14,-0.6,0.36,0.36,1.77
1.66,0.03,0.05,0.03,0.03,0.12,0.12,0.37,0.25,1.76
6.04,0,0.03,-0.19,-0.02,-0.08,-0.46,-0.56,-0.12,5.83
2.72,0,0,0,0,0,0,0.2,0.94,2.27
2.12,0,-0.17,0,-0.05,-0.04,-0.99,0.64,-0.23,2.06
1.74,4.8,4.8,4.8,3.35,3.35,3.35,3.14,0.25,0.3
1.64,5.56,5.56,5.56,5.56,5.56,0,5.56,5.56,0.25
40.24,0,0,0,0,0,0.01,0.36,-0.06,41.64
40.24,0,0,0,0,0,0.01,0.36,-0.06,41.64
0.32,-0.82,-0.82,0,0,0,0.14,-0.8,-0.75,1.87
1.88,0,0.9,-0.72,0.08,0.9,0.9,0.04,-0.73,6.22
1.88,0,0.9,-0.72,0.08,0.9,0.9,0.04,-0.73,6.22
1.1,0,2.33,-0.35,-0.35,2.33,-0.7,-0.07,-0.36,0.33
1.52,0,2.45,-0.07,-0.03,2.45,-0.32,3,0.39,0.34
1.67,0,4.57,4.57,-0.02,-0.21,4.57,-0.21,-0.33,0.3
1.23,0,2.73,-0.13,2.73,2.73,2.73,2.24,0.12,0.33
67.42,-0.32,0,-0.32,-0.29,0,-0.32,-0.38,-0.42,94.67
67.42,-0.32,0,-0.32,-0.29,0,-0.32,-0.38,-0.42,94.67
0.58,-0.6,0,-0.6,-0.61,0,-0.61,-0.07,-0.57,1.44
1.68,0,-0.05,3.8,3.8,-0.34,-0.36,2.43,-0.36,0.42
1.82,3.14,0.06,2.87,2.87,0.02,2.71,-0.25,0.02,0.47
2.8,3.75,3.75,3.75,3.75,3.75,3.75,2.54,1.83,2.98
8.67,-0.51,-0.51,-0.51,-0.51,-0.51,-0.49,-0.09,-0.16,9.53
